#{"t_start": 1702597504.5211623, "env_id": "ALE/Breakout-v5"}
r,l,t
5.0,448,19045.763248
1.0,244,19076.693713
2.0,324,19118.331415
0.0,122,19133.691877
0.0,122,19149.299949
0.0,122,19164.820253
0.0,122,19180.199583
5.0,581,19253.806607
4.0,532,19321.273664
2.0,675,19407.164649
2.0,623,19486.209484
6.0,517,19551.923456
0.0,356,19596.866136
7.0,735,19689.672302
2.0,275,19724.7056
3.0,414,19777.162036
2.0,410,19829.337818
3.0,417,19882.438394
7.0,467,19941.915094
0.0,137,19959.339197
4.0,503,20023.606372
5.0,331,20065.867318
1.0,574,20138.566458
2.0,229,20167.933737
0.0,276,20202.886444
1.0,333,20245.098526
0.0,183,20268.261914
0.0,228,20297.099201
4.0,320,20337.389252
1.0,382,20385.460109
7.0,614,20463.014224
1.0,158,20483.028339
2.0,220,20510.919621
0.0,122,20526.588659
1.0,151,20545.593068
0.0,122,20561.040236
6.0,568,20632.805832
4.0,467,20692.156215
2.0,283,20727.795242
0.0,122,20743.326289
0.0,122,20758.791428
1.0,293,20796.20594
3.0,211,20822.68195
1.0,297,20860.61442
0.0,122,20875.95856
0.0,122,20891.432505
3.0,578,20965.529284
2.0,562,21037.050811
2.0,271,21071.388826
0.0,122,21087.206037
0.0,122,21102.494202
2.0,197,21127.769383
1.0,150,21146.970412
1.0,163,21167.870944
0.0,122,21183.276234
2.0,197,21208.368977
0.0,259,21241.046437
0.0,328,21282.900739
2.0,464,21341.947856
2.0,687,21429.535017
2.0,179,21452.313367
3.0,263,21486.112759
1.0,586,21560.874697
0.0,126,21576.963891
0.0,123,21592.490953
0.0,160,21612.881951
3.0,225,21641.706919
0.0,222,21669.879527
0.0,204,21695.960661
1.0,372,21743.498532
1.0,150,21762.709742
0.0,122,21778.087726
0.0,350,21823.260953
0.0,122,21838.820992
2.0,186,21862.606365
3.0,352,21907.679555
0.0,210,21934.294881
3.0,224,21962.980575
0.0,266,21996.969675
1.0,150,22016.054899
3.0,303,22054.789422
2.0,197,22079.867619
2.0,262,22113.4193
2.0,197,22138.478509
0.0,251,22170.531448
0.0,192,22195.033186
1.0,176,22217.535646
0.0,122,22233.028764
2.0,197,22258.073861
0.0,122,22273.825052
0.0,218,22301.9551
2.0,301,22340.435182
1.0,151,22359.581203
1.0,193,22384.483525
3.0,571,22457.60168
3.0,253,22490.328668
1.0,150,22509.444484
0.0,123,22525.37456
0.0,210,22552.056711
0.0,122,22567.724822
1.0,187,22592.300773
0.0,131,22608.87009
2.0,280,22644.812184
0.0,122,22660.589233
1.0,215,22688.006882
0.0,122,22703.481491
3.0,410,22756.438052
0.0,122,22771.879189
3.0,467,22831.772371
2.0,250,22863.576642
11.0,457,22922.497548
3.0,476,22983.632749
0.0,146,23002.368859
1.0,547,23072.731974
2.0,266,23106.845072
4.0,521,23174.130039
8.0,714,23265.900313
4.0,441,23322.59039
2.0,221,23351.197485
1.0,292,23388.663716
2.0,424,23442.865721
0.0,318,23483.704751
2.0,222,23512.458768
0.0,285,23549.044887
3.0,487,23612.235776
1.0,409,23664.984997
6.0,452,23723.253751
2.0,250,23755.260787
0.0,134,23772.723872
0.0,139,23790.780284
0.0,122,23806.426784
1.0,161,23827.084917
7.0,422,23881.610336
7.0,627,23962.779086
2.0,250,23994.959875
7.0,693,24084.577959
7.0,365,24132.1849
0.0,122,24147.911072
2.0,275,24183.637101
2.0,247,24215.641439
0.0,122,24231.365005
0.0,122,24247.270409
1.0,316,24288.276304
0.0,122,24304.149385
7.0,580,24378.863275
0.0,122,24394.736324
2.0,198,24420.432367
1.0,360,24466.974278
2.0,197,24492.472489
6.0,465,24553.251622
1.0,201,24579.124332
3.0,562,24651.565156
2.0,182,24675.595076
2.0,197,24701.018177
1.0,335,24744.440389
0.0,122,24760.034277
2.0,199,24785.886266
3.0,806,24890.915046
0.0,144,24909.748099
0.0,122,24925.420146
3.0,282,24962.001953
2.0,198,24987.682035
1.0,419,25041.913118
0.0,191,25066.952245
2.0,209,25093.902121
3.0,234,25123.914929
2.0,326,25166.603293
